name	term	lev	seq	value
"MCM complex"	GO:0042555	2	TRINITY_DN31248_c0_g1	-0.908377696666118
"MCM complex"	GO:0042555	2	TRINITY_DN51759_c0_g2	-0.841478173903597
"food vacuole"	GO:0020020;GO:0032010	2	TRINITY_DN43855_c0_g1	0.036242132495551
"cell-cell contact zone"	GO:0044291	2	TRINITY_DN3872_c0_g1	-0.209252643905856
"euchromatin"	GO:0000791	3	TRINITY_DN1247_c1_g1	-0.374081158362487
"euchromatin"	GO:0000791	3	TRINITY_DN269012_c0_g1	-0.280831504338709
"euchromatin"	GO:0000791	3	TRINITY_DN7705_c0_g1	-0.00205582606747311
"chaperone complex"	GO:0005832;GO:0101031	3	TRINITY_DN21375_c0_g2	-0.403590580057804
"chaperone complex"	GO:0005832;GO:0101031	3	TRINITY_DN32532_c0_g1	-0.027864457313481
"chaperone complex"	GO:0005832;GO:0101031	3	TRINITY_DN358855_c1_g1	0.185491083849076
"chaperone complex"	GO:0005832;GO:0101031	3	TRINITY_DN4408_c0_g1	0.244413718377314
"chaperone complex"	GO:0005832;GO:0101031	3	TRINITY_DN44296_c0_g1	-1.16395053528463
"chaperone complex"	GO:0005832;GO:0101031	3	TRINITY_DN4617_c1_g1	0.362554505775515
"chaperone complex"	GO:0005832;GO:0101031	3	TRINITY_DN9723_c0_g1	-0.266287695079685
"chaperone complex"	GO:0005832;GO:0101031	3	TRINITY_DN97964_c0_g1	-0.811411669674681
"chaperone complex"	GO:0005832;GO:0101031	3	TRINITY_DN23689_c0_g1	0.0514471837077649
"chaperone complex"	GO:0005832;GO:0101031	3	TRINITY_DN453608_c0_g1	-1.31980336854138
"ionotropic glutamate receptor complex"	GO:0008328;GO:0098878	3	TRINITY_DN15627_c0_g1	0.142637228175983
"ionotropic glutamate receptor complex"	GO:0008328;GO:0098878	3	TRINITY_DN19492_c0_g1	0.166417771478339
"ionotropic glutamate receptor complex"	GO:0008328;GO:0098878	3	TRINITY_DN336_c0_g1	0.025483723671209
"ionotropic glutamate receptor complex"	GO:0008328;GO:0098878	3	TRINITY_DN74685_c0_g2	-0.423204726122923
"DNA ligase III-XRCC1 complex"	GO:0070421	2	TRINITY_DN25019_c0_g1	0.119175463053021
"Atg1/ULK1 kinase complex"	GO:1990316	7	TRINITY_DN1792_c2_g1	1.00468150728596
"Atg1/ULK1 kinase complex"	GO:1990316	7	TRINITY_DN6006_c0_g1	0.253556913512292
"Atg1/ULK1 kinase complex"	GO:1990316	7	TRINITY_DN6703_c0_g1	0.298762684592083
"ribosomal subunit"	GO:0044391	3	TRINITY_DN10241_c0_g1	-0.0495734260310269
"ribosomal subunit"	GO:0044391	3	TRINITY_DN107_c0_g2	-0.569638528299538
"ribosomal subunit"	GO:0044391	3	TRINITY_DN107_c0_g3	-0.184316021510254
"ribosomal subunit"	GO:0044391	3	TRINITY_DN10894_c1_g1	0.298638546490116
"ribosomal subunit"	GO:0044391	3	TRINITY_DN10936_c0_g1	-0.26143171090249
"ribosomal subunit"	GO:0044391	3	TRINITY_DN110_c0_g1	-0.524696861979527
"ribosomal subunit"	GO:0044391	3	TRINITY_DN11104_c0_g1	0.283690665216081
